Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in,Cluster
Dan O'Leary,TE,Notre Dame,6-4,252.0,5.02,32.0,16.0,113.0,7.4,4.31,2001,76.0,1
Ryan Prince,TE,Weber State,6-4,257.0,4.99,31.0,20.0,102.0,7.65,4.45,2001,76.0,1
Marcellus Rivers,TE,Oklahoma State,6-4,247.0,4.84,32.5,7.0,113.0,7.04,4.25,2001,76.0,1
Mike Roberg,TE,Idaho,6-4,256.0,4.75,34.5,16.0,117.0,7.28,4.4,2001,76.0,1
Russell Stewart,TE,Stanford,6-4,251.0,4.92,28.5,17.0,106.0,7.46,4.3,2001,76.0,1
Anthony Thomas,RB,Michigan,6-2,229.0,4.58,32.5,20.0,115.0,7.48,4.44,2001,74.0,1
LaDainian Tomlinson,RB,TCU,5-10,221.0,4.46,40.5,18.0,124.0,6.84,4.21,2001,70.0,0
Reggie White,RB,Oklahoma State,6-0,228.0,4.58,37.5,17.0,114.0,7.48,4.4,2001,72.0,1
James Whitley,CB,Michigan,5-10,193.0,4.73,39.0,9.0,118.0,7.04,4.4,2001,70.0,0
Brock Williams,CB,Notre Dame,5-10,183.0,4.46,42.5,11.0,130.0,6.7,4.21,2001,70.0,0
Jonathan Adams,RB,Arkansas State,6-0,219.0,4.58,36.5,15.0,120.0,6.97,4.31,2002,72.0,0
Brian Allen,RB,Stanford,5-9,209.0,4.46,33.0,19.0,112.0,6.9,4.08,2002,69.0,0
Damien Anderson,RB,Northwestern,5-10,211.0,4.56,33.5,27.0,112.0,6.93,4.02,2002,70.0,0
Ladell Betts,RB,Iowa,5-10,220.0,4.62,38.0,23.0,116.0,7.06,4.06,2002,70.0,0
Terreal Bierria,S,Georgia,6-3,216.0,4.61,36.0,18.0,130.0,6.93,4.1,2002,75.0,0
Dwayne Blakley,TE,Missouri,6-5,256.0,4.96,32.5,21.0,107.0,7.33,4.29,2002,77.0,1
Jack Brewer,S,Minnesota,6-0,194.0,4.59,37.0,12.0,122.0,6.9,4.24,2002,72.0,0
Sheldon Brown,CB,South Carolina,5-10,196.0,4.47,36.5,15.0,120.0,7.0,4.24,2002,70.0,0
Demontray Carter,RB,Troy,5-10,191.0,4.52,33.0,16.0,120.0,7.38,4.36,2002,70.0,0
Rock Cartwright,RB,Kansas State,5-8,237.0,4.47,35.0,30.0,116.0,7.18,4.25,2002,68.0,0
Kevin Curtis,S,Texas Tech,6-2,212.0,4.53,37.5,24.0,124.0,6.75,3.88,2002,74.0,0
Dan Dawson,S,Rice,6-1,219.0,4.57,38.0,24.0,124.0,6.75,4.0,2002,73.0,0
Demarcus Faggins,CB,Kansas State,5-10,178.0,4.57,36.5,3.0,121.0,6.64,3.92,2002,70.0,0
Tony Fisher,RB,Notre Dame,6-1,226.0,4.66,41.5,21.0,126.0,7.0,4.13,2002,73.0,0
Little John Flowers,RB,Michigan State,5-11,214.0,4.72,34.0,19.0,110.0,7.09,4.08,2002,71.0,0
Willie Ford,CB,Syracuse,6-1,195.0,4.57,34.0,10.0,117.0,7.25,4.33,2002,73.0,0
DeShaun Foster,RB,UCLA,6-1,222.0,4.57,35.5,20.0,119.0,6.82,4.16,2002,73.0,0
LaVar Glover,CB,Cincinnati,5-9,177.0,4.59,37.0,11.0,117.0,7.18,4.29,2002,69.0,0
Ryan Hannam,TE,New Mexico,6-2,251.0,4.69,30.5,18.0,113.0,7.07,4.21,2002,74.0,1
Quentin Harris,S,Syracuse,6-0,216.0,4.61,36.5,14.0,120.0,7.59,4.34,2002,72.0,1
Ennis Haywood,RB,Iowa State,5-10,218.0,4.76,35.0,12.0,112.0,7.08,4.14,2002,70.0,0
Jason Hebert,S,Rice,5-11,190.0,4.63,35.5,15.0,118.0,7.12,3.88,2002,71.0,0
Keith Heinrich,TE,SMU,6-5,255.0,4.77,35.0,21.0,120.0,6.87,4.1,2002,77.0,1
Leonard Henry,RB,East Carolina,6-1,206.0,4.57,35.0,26.0,113.0,7.11,4.29,2002,73.0,1
Joseph Jefferson,CB,Western Kentucky,5-11,205.0,4.39,39.5,8.0,121.0,6.84,4.01,2002,71.0,0
Doug Jolley,TE,BYU,6-4,251.0,4.6,38.0,18.0,117.0,6.9,4.18,2002,76.0,1
Terry Jones,TE,Alabama,6-3,265.0,4.79,33.5,20.0,111.0,7.43,4.43,2002,75.0,1
Eric Joyce,CB,Tennessee State,5-9,192.0,4.53,40.5,11.0,115.0,6.81,3.97,2002,69.0,0
Stephon Kelly,S,Winston-Salem State,6-3,212.0,4.62,32.5,15.0,117.0,7.26,4.1,2002,75.0,1
Michael Lewis,S,Colorado,6-1,211.0,4.6,36.5,16.0,122.0,6.96,4.14,2002,73.0,0
