Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in,Cluster
Eddie Royal,WR,Virginia Tech,5-10,184.0,4.39,36.0,24.0,124.0,7.07,4.34,2008,70.0,0
Lorne Sam,WR,Texas-El Paso,6-2,220.0,4.59,33.0,23.0,122.0,7.11,4.35,2008,74.0,1
Tom Santi,TE,Virginia,6-3,250.0,4.8,36.0,14.0,121.0,7.08,4.27,2008,75.0,1
Arman Shields,WR,Richmond,6-1,194.0,4.37,37.5,19.0,128.0,6.67,3.96,2008,73.0,0
Marcus Smith,WR,New Mexico,6-1,221.0,4.51,26.5,20.0,111.0,7.1,4.42,2008,73.0,1
Craig Stevens,TE,California,6-3,254.0,4.59,27.5,27.0,114.0,7.07,4.31,2008,75.0,1
Darrell Strong,TE,Pittsburgh,6-4,268.0,4.78,25.0,17.0,110.0,6.86,4.36,2008,76.0,1
Aqib Talib,CB,Kansas,6-1,202.0,4.44,38.0,10.0,131.0,6.82,4.22,2008,73.0,0
Jacob Tamme,TE,Kentucky,6-3,236.0,4.58,30.0,18.0,109.0,6.99,4.27,2008,75.0,1
Justin Tryon,CB,Arizona State,5-9,190.0,4.42,32.5,21.0,119.0,7.41,4.28,2008,69.0,0
Mario Urrutia,WR,Louisville,6-5,232.0,4.59,30.0,16.0,115.0,7.07,4.44,2008,77.0,1
Nehemiah Warrick,S,Michigan State,6-1,211.0,4.51,29.5,16.0,119.0,6.98,4.09,2008,73.0,0
Joe West,WR,Texas-El Paso,6-1,213.0,4.52,32.0,20.0,113.0,6.96,4.33,2008,73.0,1
Terrence Wheatley,CB,Colorado,5-10,187.0,4.37,36.5,17.0,128.0,6.74,4.17,2008,70.0,0
Asher Allen,CB,Georgia,5-9,194.0,4.48,35.0,22.0,115.0,6.93,4.3,2009,69.0,0
Kahlil Bell,RB,UCLA,5-11,212.0,4.74,34.5,15.0,114.0,6.87,4.2,2009,71.0,0
Jason Boltus,QB,Hartwick,6-3,225.0,4.82,31.5,26.0,111.0,7.0,4.47,2009,75.0,1
Andre Brown,RB,North Carolina State,6-0,224.0,4.37,37.0,24.0,115.0,7.35,4.33,2009,72.0,0
David Bruton,S,Notre Dame,6-2,219.0,4.4,41.5,19.0,132.0,6.6,4.28,2009,74.0,0
Joe Burnett,CB,Central Florida,5-9,192.0,4.58,35.5,22.0,118.0,6.68,4.25,2009,69.0,0
Deon Butler,WR,Penn State,5-10,182.0,4.31,34.5,12.0,118.0,7.01,4.48,2009,70.0,0
Rudy Carpenter,QB,Arizona State,6-2,218.0,4.89,29.0,11.0,100.0,7.25,4.47,2009,74.0,1
Chris Clemons,S,Clemson,6-0,208.0,4.33,37.5,19.0,127.0,7.27,4.38,2009,72.0,0
Glen Coffee,RB,Alabama,6-0,209.0,4.5,36.0,24.0,121.0,7.35,4.51,2009,72.0,1
Austin Collie,WR,BYU,6-1,200.0,4.53,34.0,17.0,120.0,6.78,4.24,2009,73.0,0
James Davis,RB,Clemson,5-11,218.0,4.45,32.0,17.0,109.0,7.15,4.37,2009,71.0,1
Vontae Davis,CB,Illinois,5-11,203.0,4.4,36.0,25.0,125.0,6.75,4.07,2009,71.0,0
Louis Delmas,S,West. Michigan,5-11,202.0,4.52,37.0,12.0,126.0,6.67,4.17,2009,71.0,0
Jarett Dillard,WR,Rice,5-10,191.0,4.5,42.5,13.0,129.0,7.1,4.41,2009,70.0,0
Davon Drew,TE,East Carolina,6-4,256.0,4.78,29.5,17.0,113.0,7.28,4.56,2009,76.0,1
Bradley Fletcher,CB,Iowa,6-0,196.0,4.44,38.5,20.0,122.0,7.04,4.29,2009,72.0,0
Coye Francies,CB,San Jose State,6-0,185.0,4.63,36.0,24.0,123.0,6.81,4.24,2009,72.0,0
Mike Goodson,RB,Texas A&M,6-0,208.0,4.43,39.5,14.0,118.0,6.89,4.22,2009,72.0,0
Courtney Greene,S,Rutgers,6-0,212.0,4.55,34.5,21.0,116.0,7.35,4.16,2009,72.0,0
Shonn Greene,RB,Iowa,5-10,227.0,4.55,37.0,19.0,121.0,7.1,4.4,2009,70.0,0
Dan Gronkowski,TE,Maryland,6-5,255.0,4.79,33.0,26.0,122.0,6.92,4.26,2009,77.0,1
Michael Hamlin,S,Clemson,6-2,214.0,4.57,37.5,17.0,117.0,7.14,4.42,2009,74.0,0
Cullen Harper,QB,Clemson,6-3,225.0,4.86,30.0,19.0,105.0,7.43,4.49,2009,75.0,1
Darrius Heyward-Bey,WR,Maryland,6-2,210.0,4.3,38.5,16.0,126.0,6.8,4.18,2009,74.0,0
Anthony Hill,TE,North Carolina State,6-5,262.0,4.84,30.5,21.0,107.0,7.31,4.56,2009,77.0,1
Lendy Holmes,S,Oklahoma,6-0,206.0,4.65,32.0,16.0,112.0,7.28,4.32,2009,72.0,1
Brandon Hughes,CB,Oregon State,5-10,182.0,4.4,36.5,8.0,128.0,6.9,4.23,2009,70.0,0
Malcolm Jenkins,CB,Ohio State,6-0,204.0,4.51,33.0,15.0,124.0,6.59,4.08,2009,72.0,0
Rashad Jennings,RB,Liberty,6-1,231.0,4.52,34.0,29.0,120.0,6.86,4.2,2009,73.0,0
Taurus Johnson,WR,South Florida,6-0,206.0,4.49,35.5,18.0,121.0,7.37,4.24,2009,72.0,0
Bruce Johnson,CB,Miami (FL),5-9,170.0,4.42,34.5,6.0,125.0,6.71,4.05,2009,69.0,0
D.J. Johnson,CB,Jackson State,6-1,197.0,4.5,32.0,7.0,116.0,7.0,4.3,2009,73.0,0
Ian Johnson,RB,Boise State,5-11,212.0,4.41,33.0,26.0,116.0,6.93,4.18,2009,71.0,0
Rashad Johnson,S,Alabama,5-11,203.0,4.49,37.0,15.0,120.0,7.09,4.23,2009,71.0,0
Aaron Kelly,WR,Clemson,6-4,204.0,4.49,38.0,11.0,119.0,7.25,4.45,2009,76.0,0
Anthony Kimble,RB,Stanford,6-0,216.0,4.54,36.0,17.0,122.0,7.08,4.4,2009,72.0,0
Sherrod Martin,CB,Troy,6-1,198.0,4.43,36.0,12.0,123.0,6.6,3.98,2009,73.0,0
Darcel McBath,S,Texas Tech,6-0,198.0,4.53,38.0,14.0,119.0,6.8,4.16,2009,72.0,0
Marcus McClinton,S,Kentucky,6-0,210.0,4.49,37.0,16.0,120.0,7.45,4.22,2009,72.0,0
Andrew Means,WR,Indiana,6-1,214.0,4.36,34.5,12.0,116.0,6.85,4.21,2009,73.0,0
Marko Mitchell,WR,Nevada,6-4,218.0,4.43,32.0,9.0,116.0,7.04,4.33,2009,76.0,0
D.J. Moore,CB,Vanderbilt,5-9,192.0,4.56,39.5,17.0,118.0,7.01,4.28,2009,69.0,0
William Moore,S,Missouri,6-0,221.0,4.49,37.0,16.0,123.0,6.81,4.26,2009,72.0,0
Knowshon Moreno,RB,Georgia,5-11,217.0,4.5,35.5,25.0,115.0,6.84,4.27,2009,71.0,0
Cameron Morrah,TE,California,6-3,244.0,4.61,32.5,24.0,115.0,6.99,4.36,2009,75.0,1
Captain Munnerlyn,CB,South Carolina,5-8,182.0,4.41,37.5,19.0,121.0,7.15,4.2,2009,68.0,0
Shawn Nelson,TE,Southern Miss,6-5,240.0,4.52,33.0,19.0,115.0,6.96,4.46,2009,77.0,1
Troy Nolan,S,Arizona State,6-0,206.0,4.58,31.5,12.0,117.0,7.06,4.3,2009,72.0,0
Chris Ogbonnaya,RB,Texas,6-0,220.0,4.57,35.0,19.0,111.0,6.85,4.29,2009,72.0,0
Branden Ore,RB,West Liberty,5-11,214.0,4.61,36.0,21.0,112.0,7.35,4.44,2009,71.0,1
Greg Orton,WR,Purdue,6-3,207.0,4.61,38.0,22.0,125.0,6.9,4.33,2009,75.0,0
Chris Owens,CB,San Jose State,5-10,181.0,4.44,34.5,14.0,110.0,6.93,4.16,2009,70.0,0
Ryan Palmer,CB,Texas,5-8,190.0,4.54,36.5,16.0,121.0,7.12,4.29,2009,68.0,0
Cedric Peerman,RB,Virginia,5-9,216.0,4.34,40.0,27.0,117.0,6.99,4.29,2009,69.0,0
Derek Pegues,S,Mississippi State,5-10,199.0,4.54,36.0,23.0,119.0,7.08,4.3,2009,70.0,0
Brandon Pettigrew,TE,Oklahoma State,6-5,263.0,4.8,33.0,22.0,118.0,7.12,4.37,2009,77.0,1
John Phillips,TE,Virginia,6-5,251.0,4.78,33.5,20.0,112.0,6.84,4.27,2009,77.0,1
Jerraud Powers,CB,Auburn,5-9,188.0,4.43,36.5,15.0,122.0,7.09,4.08,2009,69.0,0
Glover Quin,S,New Mexico,5-11,204.0,4.5,38.0,22.0,119.0,7.39,4.43,2009,71.0,0
Richard Quinn,TE,North Carolina,6-4,264.0,4.88,32.5,24.0,119.0,7.5,4.62,2009,76.0,1
Javon Ringer,RB,Michigan State,5-9,205.0,4.5,34.0,23.0,115.0,6.87,4.11,2009,69.0,0
Jamarca Sanford,S,Mississippi,5-10,214.0,4.43,33.5,29.0,116.0,7.02,4.2,2009,70.0,0
Lydell Sargeant,CB,Penn State,5-9,190.0,4.48,35.0,15.0,117.0,7.0,4.21,2009,69.0,0
Bernard Scott,RB,Abilene Christian,5-10,200.0,4.44,36.0,21.0,125.0,6.82,4.08,2009,70.0,0
Kory Sheets,RB,Purdue,5-11,208.0,4.39,37.0,15.0,121.0,7.18,4.39,2009,71.0,0
Alphonso Smith,CB,Wake Forest,5-9,193.0,4.47,34.0,13.0,125.0,7.09,4.38,2009,69.0,0
DeAngelo Smith,CB,Cincinnati,5-11,194.0,4.5,31.5,17.0,109.0,7.27,4.35,2009,71.0,0
Sean Smith,CB,Utah,6-3,214.0,4.47,34.0,10.0,119.0,6.92,4.15,2009,75.0,0
Kory Sperry,TE,Colorado State,6-5,238.0,4.69,33.5,20.0,122.0,7.0,4.24,2009,77.0,1
Sammie Stroughter,WR,Oregon State,5-9,189.0,4.45,30.0,13.0,110.0,7.03,4.28,2009,69.0,0
Nate Swift,WR,Nebraska,6-1,203.0,4.63,35.5,12.0,110.0,6.78,4.24,2009,73.0,0
Curtis Taylor,S,LSU,6-2,209.0,4.49,37.5,13.0,129.0,7.25,4.23,2009,74.0,0
Morgan Trent,CB,Michigan,6-1,193.0,4.5,38.0,23.0,127.0,7.05,4.01,2009,73.0,0
Brandon Underwood,S,Cincinnati,6-1,198.0,4.48,36.5,16.0,125.0,7.0,4.2,2009,73.0,0
Tiquan Underwood,WR,Rutgers,6-1,184.0,4.31,41.5,7.0,129.0,6.62,4.11,2009,73.0,0
Chip Vaughn,S,Wake Forest,6-1,221.0,4.42,37.0,21.0,125.0,7.03,4.12,2009,73.0,0
Mike Wallace,WR,Mississippi,6-0,199.0,4.33,40.0,14.0,129.0,6.9,4.27,2009,72.0,0
Donald Washington,CB,Ohio State,6-0,197.0,4.5,45.0,9.0,135.0,6.84,4.2,2009,72.0,0
Lardarius Webb,CB,Nicholls State,5-10,179.0,4.35,36.5,15.0,121.0,6.77,4.1,2009,70.0,0
Jaison Williams,WR,Oregon,6-4,237.0,4.47,35.5,14.0,118.0,7.37,4.56,2009,76.0,1
DeAndre Wright,CB,New Mexico,5-11,198.0,4.52,34.5,17.0,122.0,7.0,4.44,2009,71.0,0
Anthony Allen,RB,Georgia Tech,6-1,228.0,4.56,41.5,24.0,120.0,6.79,4.06,2011,73.0,0
Cortez Allen,CB,Citadel,6-1,197.0,4.5,35.5,18.0,129.0,6.76,4.01,2011,73.0,0
Prince Amukamara,CB,Nebraska,6-0,206.0,4.38,38.0,15.0,128.0,6.97,4.08,2011,72.0,0
Matt Asiata,RB,Utah,5-11,229.0,4.77,30.0,22.0,104.0,7.09,4.37,2011,71.0,1
Jon Baldwin,WR,Pittsburgh,6-4,228.0,4.49,42.0,20.0,129.0,7.07,4.34,2011,76.0,0
Damien Berry,RB,Miami (FL),5-10,211.0,4.58,33.5,23.0,120.0,7.0,4.12,2011,70.0,0
Armon Binns,WR,Cincinnati,6-3,209.0,4.5,31.5,13.0,118.0,6.86,4.31,2011,75.0,0
Ahmad Black,S,Florida,5-9,184.0,4.7,35.5,18.0,119.0,6.85,4.2,2011,69.0,0
Allen Bradford,RB,USC,5-11,242.0,4.53,29.0,28.0,113.0,6.97,4.39,2011,71.0,1
DeAndre Brown,WR,Southern Miss,6-6,233.0,4.59,29.0,20.0,117.0,6.93,4.33,2011,78.0,1
Curtis Brown,CB,Texas,6-0,185.0,4.51,39.5,10.0,128.0,6.59,4.0,2011,72.0,0
Jalil Brown,CB,Colorado,6-1,204.0,4.52,35.5,24.0,116.0,6.85,4.25,2011,73.0,0
Vincent Brown,WR,San Diego State,5-11,187.0,4.68,33.5,12.0,121.0,6.64,4.25,2011,71.0,0
Brandon Burton,CB,Utah,6-0,190.0,4.5,32.0,18.0,118.0,6.93,4.07,2011,72.0,0
Stephen Burton,WR,West Texas A&M,6-1,221.0,4.5,34.5,19.0,117.0,7.04,4.31,2011,73.0,0
Jordan Cameron,TE,USC,6-5,254.0,4.53,37.5,23.0,119.0,6.82,4.03,2011,77.0,0
Roc Carmichael,CB,Virginia Tech,5-10,192.0,4.41,31.0,13.0,116.0,6.69,4.06,2011,70.0,0
Delone Carter,RB,Syracuse,5-9,222.0,4.54,37.0,27.0,120.0,6.92,4.07,2011,69.0,0
Quinton Carter,S,Oklahoma,6-1,208.0,4.57,34.5,23.0,121.0,7.05,4.06,2011,73.0,0
Randall Cobb,WR,Kentucky,5-10,191.0,4.46,33.5,16.0,115.0,7.08,4.34,2011,70.0,0
Chris Conte,S,California,6-2,197.0,4.52,35.5,18.0,127.0,7.01,4.19,2011,74.0,0
Shaun Draughn,RB,North Carolina,5-11,213.0,4.73,34.0,21.0,118.0,7.15,4.2,2011,71.0,0
Demarcus Van Dyke,CB,Miami (FL),6-1,176.0,4.28,33.5,5.0,121.0,6.97,4.09,2011,73.0,0
Darren Evans,RB,Virginia Tech,6-0,227.0,4.56,35.0,26.0,111.0,6.96,4.46,2011,72.0,1
Mario Fannin,RB,Auburn,5-10,231.0,4.37,37.5,21.0,115.0,6.99,4.21,2011,70.0,0
Charlie Gantt,TE,Michigan State,6-4,252.0,4.85,30.5,27.0,112.0,7.15,4.4,2011,76.0,1
Marcus Gilchrist,CB,Clemson,5-10,195.0,4.45,38.5,26.0,119.0,6.81,4.12,2011,70.0,0
Cameron Graham,TE,Louisville,6-3,244.0,5.0,31.0,18.0,105.0,7.19,4.51,2011,75.0,1
A.J. Green,WR,Georgia,6-4,211.0,4.48,34.5,18.0,126.0,6.91,4.21,2011,76.0,0
Alex Green,RB,Hawaii,6-0,225.0,4.45,34.0,20.0,114.0,6.91,4.15,2011,72.0,0
Virgil Green,TE,Nevada,6-3,249.0,4.54,42.5,23.0,130.0,6.9,4.4,2011,75.0,0
Tori Gurley,WR,South Carolina,6-4,216.0,4.53,33.5,15.0,118.0,7.05,4.25,2011,76.0,0
Eric Hagg,S,Nebraska,6-1,209.0,4.62,34.5,18.0,121.0,6.73,4.19,2011,73.0,0
Jamel Hamler,WR,Fresno State,6-1,193.0,4.59,32.0,4.0,112.0,7.16,4.18,2011,73.0,0
Leonard Hankerson,WR,Miami (FL),6-1,209.0,4.4,36.0,14.0,117.0,6.94,4.21,2011,73.0,0
Jamie Harper,RB,Clemson,5-11,233.0,4.53,36.5,24.0,120.0,7.16,4.39,2011,71.0,0
Brandon Harris,CB,Miami (FL),5-9,191.0,4.46,35.5,13.0,113.0,6.77,4.12,2011,69.0,0
Dwayne Harris,WR,East Carolina,5-10,203.0,4.53,34.0,10.0,111.0,6.77,4.21,2011,70.0,0
Roy Helu,RB,Nebraska,5-11,219.0,4.4,36.5,11.0,119.0,6.67,4.01,2011,71.0,0
Andre Holmes,WR,Hillsdale,6-4,210.0,4.51,35.0,11.0,130.0,6.69,4.31,2011,76.0,0
Davon House,CB,New Mexico State,6-0,200.0,4.44,33.5,14.0,109.0,6.65,4.12,2011,72.0,0
Rob Housler,TE,Florida Atlantic,6-5,248.0,4.46,37.0,22.0,117.0,6.9,4.21,2011,77.0,1
Kendall Hunter,RB,Oklahoma State,5-7,199.0,4.46,35.0,24.0,122.0,6.74,4.21,2011,67.0,0
Mark Ingram,RB,Alabama,5-9,215.0,4.62,31.5,21.0,118.0,7.13,4.62,2011,69.0,1
Jaiquawn Jarrett,S,Temple,6-0,198.0,4.62,30.0,14.0,113.0,6.95,4.14,2011,72.0,0
Lestar Jean,WR,Florida Atlantic,6-3,215.0,4.61,37.5,14.0,113.0,7.45,4.43,2011,75.0,1
Jerrel Jernigan,WR,Troy,5-9,185.0,4.46,37.5,11.0,124.0,7.07,4.25,2011,69.0,0
Julio Jones,WR,Alabama,6-3,220.0,4.34,38.5,17.0,135.0,6.66,4.25,2011,75.0,0
Lance Kendricks,TE,Wisconsin,6-3,243.0,4.65,34.5,25.0,122.0,6.94,4.15,2011,75.0,1
Shiloh Keo,S,Idaho,5-11,219.0,4.74,32.5,24.0,110.0,6.55,3.9,2011,71.0,0
Joe Lefeged,S,Rutgers,6-0,210.0,4.42,36.5,18.0,122.0,6.82,4.13,2011,72.0,0
Mark LeGree,S,Appalachian State,5-11,210.0,4.49,31.0,21.0,116.0,6.9,4.09,2011,71.0,0
Mikel Leshoure,RB,Illinois,6-0,227.0,4.56,38.0,21.0,122.0,6.82,4.4,2011,72.0,0
Dion Lewis,RB,Pittsburgh,5-7,193.0,4.56,34.5,17.0,112.0,6.9,4.18,2011,67.0,0
Greg Little,WR,North Carolina,6-2,231.0,4.51,40.5,27.0,129.0,6.8,4.21,2011,74.0,0
Derrick Locke,RB,Kentucky,5-8,188.0,4.37,37.5,16.0,118.0,6.98,4.15,2011,68.0,0
Curtis Marsh,CB,Utah State,6-0,197.0,4.42,37.5,12.0,123.0,6.87,4.07,2011,72.0,0
Denarius Moore,WR,Tennessee,6-0,194.0,4.43,36.0,13.0,118.0,6.78,4.15,2011,72.0,0
Rahim Moore,S,UCLA,6-0,202.0,4.58,35.0,11.0,115.0,6.98,3.96,2011,72.0,0
Joseph Morgan,WR,Michigan State,6-0,189.0,4.38,35.5,10.0,123.0,6.91,4.25,2011,72.0,0
DeMarco Murray,RB,Oklahoma,6-0,213.0,4.37,34.5,21.0,124.0,7.28,4.18,2011,72.0,0
Jamar Newsome,WR,Central Florida,6-0,200.0,4.46,38.5,13.0,129.0,6.83,4.22,2011,72.0,0
Schuylar Oordt,TE,New Mexico,6-6,261.0,4.63,36.0,18.0,119.0,6.83,4.25,2011,78.0,1
Niles Paul,WR,Nebraska,6-1,224.0,4.45,34.5,24.0,117.0,6.9,4.14,2011,73.0,0
Patrick Peterson,CB,LSU,6-0,219.0,4.31,38.0,15.0,126.0,6.58,4.07,2011,72.0,0
Austin Pettis,WR,Boise State,6-3,209.0,4.56,33.5,14.0,120.0,6.68,3.88,2011,75.0,0
Zack Pianalto,TE,North Carolina,6-3,256.0,4.78,32.0,22.0,108.0,6.85,4.41,2011,75.0,1
Stevan Ridley,RB,LSU,5-11,225.0,4.65,36.0,18.0,118.0,6.78,4.21,2011,71.0,0
Aldrick Robinson,WR,SMU,5-10,184.0,4.35,40.0,17.0,126.0,6.65,4.09,2011,70.0,0
Justin Rogers,CB,Richmond,5-10,180.0,4.45,33.0,14.0,114.0,7.21,4.2,2011,70.0,0
Evan Royster,RB,Penn State,6-0,212.0,4.65,34.0,20.0,113.0,7.07,4.18,2011,72.0,0
Kevin Rutland,CB,Missouri,6-0,190.0,4.58,35.5,12.0,118.0,6.92,4.15,2011,72.0,0
Brandon Saine,RB,Ohio State,5-11,220.0,4.4,34.5,22.0,113.0,6.98,4.25,2011,71.0,0
Greg Salas,WR,Hawaii,6-1,210.0,4.53,37.0,15.0,120.0,6.65,4.1,2011,73.0,0
Jock Sanders,WR,West Virginia,5-6,181.0,4.5,34.5,19.0,121.0,6.78,4.13,2011,66.0,0
Robert Sands,S,West Virginia,6-4,217.0,4.53,35.0,12.0,124.0,7.03,4.06,2011,76.0,0
Tyler Sash,S,Iowa,6-0,211.0,4.62,33.0,11.0,108.0,6.9,4.27,2011,72.0,0
Da'Rel Scott,RB,Maryland,5-11,211.0,4.4,34.0,19.0,117.0,7.15,4.2,2011,71.0,0
Da'Norris Searcy,S,North Carolina,5-11,223.0,4.55,33.0,27.0,120.0,6.87,4.09,2011,71.0,0
Richard Sherman,CB,Stanford,6-3,195.0,4.54,38.0,16.0,125.0,6.82,4.33,2011,75.0,0
Cecil Shorts,WR,Mount Union,6-0,205.0,4.5,34.5,21.0,114.0,6.5,4.07,2011,72.0,0
Buster Skrine,CB,Tenn-Chattanooga,5-9,186.0,4.37,37.0,20.0,122.0,6.44,3.9,2011,69.0,0
Jimmy Smith,CB,Colorado,6-2,211.0,4.42,36.0,24.0,123.0,6.93,4.06,2011,74.0,0
Lee Smith,TE,Marshall,6-6,266.0,4.94,29.0,25.0,108.0,7.13,4.28,2011,78.0,1
Torrey Smith,WR,Maryland,6-1,204.0,4.41,41.0,19.0,126.0,6.72,4.13,2011,73.0,0
Owen Spencer,WR,North Carolina State,6-2,195.0,4.51,37.5,6.0,125.0,6.86,4.18,2011,74.0,0
Luke Stocker,TE,Tennessee,6-5,258.0,4.68,33.0,27.0,115.0,7.03,4.4,2011,77.0,1
Jerrard Tarrant,S,Georgia Tech,6-0,204.0,4.57,33.0,14.0,114.0,6.92,4.21,2011,72.0,0
Vai Taua,RB,Nevada,5-9,213.0,4.65,34.5,20.0,112.0,6.89,4.18,2011,69.0,0
Josh Thomas,CB,Buffalo,5-10,191.0,4.46,38.5,13.0,126.0,6.99,4.15,2011,70.0,0
Julius Thomas,TE,Portland State,6-5,246.0,4.64,35.5,16.0,111.0,6.96,4.31,2011,77.0,1
Brandyn Thompson,CB,Boise State,5-9,189.0,4.5,33.5,13.0,114.0,6.66,4.12,2011,69.0,0
Jordan Todman,RB,Connecticut,5-9,203.0,4.4,38.0,25.0,126.0,7.24,4.18,2011,69.0,0
Terrance Turner,WR,Indiana,6-2,220.0,4.53,41.0,16.0,128.0,6.77,4.15,2011,74.0,0
Shane Vereen,RB,California,5-10,210.0,4.49,34.0,31.0,115.0,6.95,4.28,2011,70.0,0
Ryan Whalen,WR,Stanford,6-1,202.0,4.53,38.5,18.0,123.0,6.67,4.09,2011,73.0,0
Marshall Williams,WR,Wake Forest,6-1,188.0,4.56,35.5,9.0,123.0,6.61,4.09,2011,73.0,0
Nate Williams,S,Washington,6-0,211.0,4.68,30.5,17.0,114.0,6.98,4.15,2011,72.0,0
Aaron Williams,CB,Texas,6-0,204.0,4.55,37.5,18.0,127.0,6.72,4.07,2011,72.0,0
D.J. Williams,TE,Arkansas,6-2,245.0,4.59,33.5,20.0,111.0,7.29,4.51,2011,74.0,1
Ryan Williams,RB,Virginia Tech,5-9,212.0,4.59,40.0,19.0,123.0,6.96,4.18,2011,69.0,0
Jimmy Young,WR,TCU,6-0,204.0,4.5,37.0,19.0,115.0,7.08,4.18,2011,72.0,0
Antonio Allen,S,South Carolina,6-1,210.0,4.58,34.0,17.0,118.0,7.02,4.25,2012,73.0,0
Dwayne Allen,TE,Clemson,6-3,255.0,4.85,32.0,27.0,110.0,7.12,4.37,2012,75.0,1
Edwin Baker,RB,Michigan State,5-8,204.0,4.44,35.0,20.0,111.0,7.27,4.31,2012,68.0,0
Mike Ball,RB,Nevada,5-8,206.0,4.54,36.0,21.0,112.0,7.1,4.23,2012,68.0,0
Vick Ballard,RB,Mississippi State,5-10,219.0,4.59,33.0,23.0,115.0,7.03,4.19,2012,70.0,0
Bill Bentley,CB,Colorado,5-10,182.0,4.42,31.5,13.0,114.0,6.99,4.5,2012,70.0,0
Justin Bethel,S,Presbyterian,6-0,200.0,4.52,39.5,19.0,131.0,6.79,4.3,2012,72.0,0
Robert Blanton,CB,Notre Dame,6-1,208.0,4.66,34.0,12.0,116.0,6.71,3.97,2012,73.0,0
Brandon Bolden,RB,Mississippi,5-11,222.0,4.55,38.0,21.0,119.0,6.96,4.44,2012,71.0,0
Jarrett Boykin,WR,Virginia Tech,6-2,217.0,4.62,36.0,11.0,123.0,7.12,4.28,2012,74.0,0
Charles Brown,CB,North Carolina,5-9,202.0,4.53,35.5,18.0,114.0,6.94,4.06,2012,69.0,0
Danny Coale,WR,Virginia Tech,6-0,201.0,4.42,35.0,12.0,115.0,6.69,4.15,2012,72.0,0
Lennon Creer,RB,Louisiana Tech,5-11,219.0,4.67,33.5,21.0,110.0,7.26,4.4,2012,71.0,1
Juron Criner,WR,Arizona,6-2,224.0,4.66,38.0,17.0,117.0,7.15,4.3,2012,74.0,1
Michael Egnew,TE,Missouri,6-5,252.0,4.52,36.0,21.0,131.0,7.03,4.32,2012,77.0,1
Antonio Fenelus,CB,Wisconsin,5-8,190.0,4.57,32.0,20.0,109.0,6.8,4.2,2012,68.0,0
Jamell Fleming,CB,Oklahoma,5-11,206.0,4.43,34.0,23.0,125.0,6.71,3.97,2012,71.0,0
Terrence Frederick,CB,Texas A&M,5-10,187.0,4.44,35.0,16.0,121.0,6.59,4.03,2012,70.0,0
Stephon Gilmore,CB,South Carolina,6-0,190.0,4.38,36.0,15.0,123.0,6.61,3.94,2012,72.0,0
Chris Givens,WR,Wake Forest,5-11,198.0,4.35,33.5,19.0,118.0,6.97,4.23,2012,71.0,0
T.J. Graham,WR,North Carolina State,5-11,188.0,4.34,33.5,8.0,120.0,6.77,4.18,2012,71.0,0
Ladarius Green,TE,Louisiana-Lafayette,6-6,238.0,4.45,34.5,16.0,124.0,7.12,4.47,2012,78.0,1
James Hanna,TE,Oklahoma,6-4,252.0,4.43,36.0,24.0,122.0,6.76,4.11,2012,76.0,0
Cory Harkey,TE,UCLA,6-4,260.0,5.06,26.5,13.0,109.0,7.4,4.69,2012,76.0,1
Cliff Harris,CB,Oregon,5-11,175.0,4.61,36.0,14.0,118.0,6.79,4.19,2012,71.0,0
Casey Hayward,CB,Vanderbilt,5-11,192.0,4.47,34.0,19.0,119.0,6.76,3.9,2012,71.0,0
Junior Hemingway,WR,Michigan,6-1,225.0,4.48,35.5,21.0,124.0,6.59,3.98,2012,73.0,0
Dan Herron,RB,Ohio State,5-10,213.0,4.57,35.0,22.0,117.0,6.97,4.04,2012,70.0,0
Stephen Hill,WR,Georgia Tech,6-4,215.0,4.36,39.5,14.0,133.0,6.88,4.48,2012,76.0,0
Delano Howell,S,Stanford,5-11,210.0,4.61,33.0,21.0,120.0,6.97,4.15,2012,71.0,0
Duke Ihenacho,S,San Jose State,6-0,213.0,4.67,35.0,20.0,122.0,6.78,4.22,2012,72.0,0
George Iloka,S,Boise State,6-4,225.0,4.6,34.5,20.0,124.0,7.03,4.03,2012,76.0,0
Janzen Jackson,S,McNeese State,5-11,188.0,4.6,36.5,9.0,125.0,6.9,4.15,2012,71.0,0
Asa Jackson,CB,Cal Poly,5-10,191.0,4.48,34.5,19.0,118.0,6.97,4.03,2012,70.0,0
Jerrell Jackson,WR,Missouri,6-0,196.0,4.5,41.0,22.0,127.0,6.82,4.11,2012,72.0,0
LaMichael James,RB,Oregon,5-8,194.0,4.35,35.0,15.0,123.0,6.88,4.12,2012,68.0,0
Jordan Jefferson,QB,LSU,6-4,223.0,4.58,36.5,14.0,116.0,6.81,4.06,2012,76.0,0
Leonard Johnson,CB,Iowa State,5-10,196.0,4.62,32.0,15.0,120.0,6.96,4.15,2012,70.0,0
Trumaine Johnson,CB,Montana,6-2,204.0,4.5,35.5,19.0,122.0,7.2,4.15,2012,74.0,0
Jeremy Jones,CB,Wayne State (MI),5-9,197.0,4.56,31.5,20.0,116.0,7.14,4.18,2012,69.0,0
Marvin Jones,WR,California,6-2,199.0,4.46,33.0,22.0,112.0,6.81,4.11,2012,74.0,0
Jermaine Kearse,WR,Washington,6-1,209.0,4.5,34.0,14.0,119.0,7.03,4.12,2012,73.0,0
