Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in
Dez White,WR,Georgia Tech,6-1,218.0,4.62,37.5,,124.0,6.91,4.09,2000,73.0
James Williams,WR,Marshall,5-11,180.0,4.59,36.0,,123.0,7.22,4.16,2000,71.0
Jack Williams,S,Azusa Pacific,5-10,206.0,4.72,31.5,15.0,108.0,7.15,4.65,2000,70.0
Destry Wright,RB,Jackson State,5-11,216.0,4.84,29.5,15.0,112.0,7.15,4.41,2000,71.0
Spergon Wynn,QB,Texas State,6-3,229.0,4.91,34.0,,108.0,7.71,4.59,2000,75.0
Bashir Yamini,WR,Iowa,6-3,191.0,4.53,33.0,,130.0,7.09,4.18,2000,75.0
David Allen,RB,Kansas State,5-9,194.0,4.62,31.0,15.0,111.0,,,2001,69.0
Will Allen,CB,Syracuse,5-10,192.0,4.44,39.5,14.0,121.0,6.78,3.9,2001,70.0
Scotty Anderson,WR,Grambling State,6-2,184.0,4.57,34.5,,115.0,,,2001,74.0
Adam Archuleta,S,Arizona State,6-0,211.0,4.46,,31.0,,,,2001,72.0
Billy Baber,TE,Virginia,6-4,255.0,4.76,33.0,22.0,106.0,7.12,4.19,2001,76.0
Alex Bannister,WR,East. Kentucky,6-5,201.0,4.47,30.5,,110.0,,,2001,77.0
Idrees Bashir,S,Memphis,6-2,206.0,4.56,40.0,22.0,126.0,7.14,4.2,2001,74.0
Gary Baxter,CB,Baylor,6-2,204.0,4.53,37.5,,122.0,7.39,4.21,2001,74.0
Jonathan Beasley,QB,Kansas State,6-0,227.0,4.85,29.5,,102.0,7.55,4.38,2001,72.0
Michael Bennett,RB,Wisconsin,5-9,207.0,4.38,39.5,13.0,130.0,,,2001,69.0
Eddie Berlin,WR,New Mexico,5-11,191.0,4.43,39.5,,122.0,6.78,4.08,2001,71.0
Cory Bird,S,Virginia Tech,5-10,217.0,4.6,,22.0,,,,2001,70.0
Randy Black,S,UNLV,6-0,205.0,4.74,35.5,,115.0,7.14,4.2,2001,72.0
Harold Blackmon,CB,Northwestern,5-11,210.0,4.54,37.0,17.0,121.0,7.03,4.28,2001,71.0
Derrick Blaylock,RB,Stephen F. Austin,5-10,194.0,4.36,35.5,18.0,119.0,7.05,4.09,2001,70.0
Josh Booty,QB,LSU,6-2,221.0,4.9,29.5,,105.0,7.54,4.48,2001,74.0
James Boyd,S,Penn State,5-11,207.0,4.59,32.5,,117.0,7.29,4.24,2001,71.0
Drew Brees,QB,Purdue,6-0,213.0,4.83,32.0,,105.0,7.09,4.21,2001,72.0
Sean Brewer,TE,San Jose State,6-4,255.0,4.73,36.0,14.0,117.0,7.37,4.18,2001,76.0
Corey Brown,WR,Tulsa,6-0,202.0,4.63,39.5,,126.0,,,2001,72.0
Kenny Bryant,CB,Jackson State,5-11,190.0,4.65,37.5,10.0,117.0,7.5,4.15,2001,71.0
Correll Buckhalter,RB,Nebraska,6-0,226.0,4.53,40.0,11.0,123.0,7.08,4.06,2001,72.0
Jerametrius Butler,CB,Kansas State,5-10,173.0,4.57,36.0,11.0,121.0,7.22,4.4,2001,70.0
John Capel,WR,Florida,5-11,177.0,4.39,36.5,,126.0,,,2001,71.0
Elliott Carson,TE,Vanderbilt,6-4,246.0,4.9,36.0,16.0,115.0,7.52,4.21,2001,76.0
Robert Carswell,S,Clemson,6-0,214.0,4.59,34.0,21.0,106.0,7.14,4.18,2001,72.0
